        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 7.07400000e+00,        -2.503122999575e+01,        +1.122177051049e+02,        -2.785344584829e-01,        -9.810742309478e+01
 7.07405000e+00,        -2.531955442128e+01,        +1.036102711429e+02,        -2.814956900294e-01,        -9.857571908197e+01
 7.07410000e+00,        -2.535758106940e+01,        +9.559600813020e+01,        -2.820789629301e-01,        -9.902050504949e+01
 7.07415000e+00,        -2.532309261865e+01,        +8.498251862764e+01,        -2.891111519695e-01,        -9.957656114834e+01
 7.07420000e+00,        -2.492435711577e+01,        +7.555033478317e+01,        -2.908004397101e-01,        -1.001304709653e+02
 7.07425000e+00,        -2.440198089039e+01,        +6.483193807908e+01,        -3.030708393954e-01,        -1.007645344946e+02
 7.07430000e+00,        -2.349560481532e+01,        +5.655958578862e+01,        -3.031196864802e-01,        -1.014240286379e+02
 7.07435000e+00,        -2.260564904708e+01,        +4.750087961613e+01,        -3.198532079072e-01,        -1.021644291094e+02
 7.07440000e+00,        -2.144550088381e+01,        +4.001707146257e+01,        -3.306422863896e-01,        -1.030071095118e+02
 7.07445000e+00,        -2.030628455789e+01,        +3.327553397700e+01,        -3.495027207199e-01,        -1.039152141091e+02
 7.07450000e+00,        -1.908638586550e+01,        +2.744548543985e+01,        -3.698730254675e-01,        -1.049362429637e+02
 7.07455000e+00,        -1.784868338736e+01,        +2.204608801678e+01,        -3.994064086883e-01,        -1.060962057871e+02
 7.07460000e+00,        -1.661672353864e+01,        +1.728003793220e+01,        -4.345509738549e-01,        -1.073856010213e+02
 7.07465000e+00,        -1.537244854046e+01,        +1.277176690257e+01,        -4.816530884950e-01,        -1.088607108258e+02
 7.07470000e+00,        -1.411926164628e+01,        +8.397112716059e+00,        -5.453032268461e-01,        -1.105613764440e+02
 7.07475000e+00,        -1.292980119851e+01,        +4.327241094721e+00,        -6.249476930194e-01,        -1.124115565583e+02
 7.07480000e+00,        -1.170215224839e+01,        +5.032348044942e-01,        -7.171828715318e-01,        -1.145871678075e+02
 7.07485000e+00,        -1.040961192097e+01,        -3.824270171424e+00,        -8.567282421697e-01,        -1.172573408249e+02
 7.07490000e+00,        -9.081198286553e+00,        -8.452455186272e+00,        -1.048607692171e+00,        -1.204894441506e+02
 7.07495000e+00,        -7.791830932938e+00,        -1.363142791975e+01,        -1.328523625488e+00,        -1.242145144971e+02
 7.07500000e+00,        -6.475070066471e+00,        -1.922066705894e+01,        -1.712510592006e+00,        -1.287790377064e+02
 7.07505000e+00,        -5.222637778472e+00,        -2.606286789133e+01,        -2.319912795522e+00,        -1.340729685696e+02
 7.07510000e+00,        -3.939362819070e+00,        -3.357838808432e+01,        -3.188567789399e+00,        -1.407943365606e+02
 7.07515000e+00,        -2.795770641686e+00,        -4.239493687754e+01,        -4.543687247963e+00,        -1.485281972593e+02
 7.07520000e+00,        -1.803101364394e+00,        -5.244640933719e+01,        -6.710341964909e+00,        -1.575185883756e+02
 7.07525000e+00,        -1.015624896335e+00,        -6.334982958939e+01,        -1.035233206519e+01,        -1.680458617648e+02
 7.07530000e+00,        -5.477699621722e-01,        -7.495974044212e+01,        -1.817283759730e+01,        -1.792969148447e+02
 7.07535000e+00,        -4.377247650689e-01,        -8.645697711727e+01,        -2.443441853613e+01,        -1.175089238639e+01
 7.07540000e+00,        -5.922667596727e-01,        -9.689356228714e+01,        -1.296186278267e+01,        -2.037403914528e+01
 7.07545000e+00,        -9.281724989941e-01,        -1.060649578621e+02,        -8.775598057351e+00,        -2.854377781860e+01
 7.07550000e+00,        -1.414101665220e+00,        -1.138862739297e+02,        -6.454151310019e+00,        -3.600976177356e+01
 7.07555000e+00,        -1.937592645844e+00,        -1.202979524004e+02,        -5.024856420526e+00,        -4.202159856470e+01
 7.07560000e+00,        -2.457565552092e+00,        -1.255660957249e+02,        -4.075476890093e+00,        -4.687087170680e+01
 7.07565000e+00,        -2.979867702417e+00,        -1.302785315925e+02,        -3.357305089955e+00,        -5.102959747390e+01
 7.07570000e+00,        -3.479838440036e+00,        -1.339952215825e+02,        -2.870869676424e+00,        -5.450048769780e+01
 7.07575000e+00,        -3.929892815800e+00,        -1.372967943885e+02,        -2.485669381720e+00,        -5.731157115292e+01
 7.07580000e+00,        -4.373724451079e+00,        -1.400866337794e+02,        -2.194015164092e+00,        -5.982974794595e+01
 7.07585000e+00,        -4.760950680823e+00,        -1.424644077277e+02,        -1.969209741735e+00,        -6.186411523204e+01
 7.07590000e+00,        -5.135825855584e+00,        -1.446271615502e+02,        -1.778706681927e+00,        -6.369327386371e+01
 7.07595000e+00,        -5.476468187328e+00,        -1.464198151042e+02,        -1.635685158596e+00,        -6.526593852042e+01
 7.07600000e+00,        -5.793092048691e+00,        -1.481124224242e+02,        -1.507384864255e+00,        -6.663713876117e+01
